model_code	model_id	model_initial_id	model_name	model_quarter
MOD_201219	-21219	1219	Верхний душ	-2.0
MOD_201220	-21220	1220	Гидромассажная панель	-2.0
MOD_201221	-21221	1221	Душевая система скрытого монтажа	-2.0
MOD_201222	-21222	1222	душевая лейка встраиваемая	-2.0
MOD_201223	-21223	1223	Смесители встраиваемые	-2.0
MOD_201224	-21224	1224	Настенный или потолочный кронштейн для головки душа	-2.0
MOD_201225	-21225	1225	Переходники для подключения водяного теплого пола	-2.0
MOD_201226	-21226	1226	ППР труба	-2.0
MOD_201227	-21227	1227	лен сантехнический	-2.0
MOD_201228	-21228	1228	Средство для ремонта ванных комнат	-2.0
MOD_201229	-21229	1229	Калибратор	-2.0
MOD_201230	-21230	1230	Полибутиленовая труба	-2.0
MOD_201231	-21231	1231	компенсатор гидроударов	-2.0
MOD_201232	-21232	1232	Крепежный комплект для крана (комплект кронштейнов)	-2.0
MOD_201233	-21233	1233	Эмаль ремонтная	-2.0
MOD_201234	-21234	1234	Мембрана	-2.0
MOD_201235	-21235	1235	Септик	-2.0
MOD_201236	-21236	1236	Аксессуары для обратного осмоса	-2.0
MOD_201237	-21237	1237	Аксессуары для отвода горячего воздуха	-2.0
MOD_201238	-21238	1238	ПВХ труба для отвода запаха и дыма	-2.0
MOD_201239	-21239	1239	Элемент ПВХ трубы	-2.0
MOD_201240	-21240	1240	Жидкое топливо	-2.0
MOD_201241	-21241	1241	теплоноситель	-2.0
MOD_201242	-21242	1242	Реле для теплого водяного пола	-2.0
MOD_201243	-21243	1243	Клапаны для водостока	-2.0
MOD_201244	-21244	1244	Принадлежности для керосиновой печки	-2.0
MOD_201245	-21245	1245	Кожух водонагревателя	-2.0
MOD_201246	-21246	1246	Ёмкости для воды	-2.0
MOD_201247	-21247	1247	Система запаса воды для цветочного контейнера	-2.0
MOD_201249	-21249	1249	Цветочные горшки и кашпо	-2.0
MOD_201250	-21250	1250	Блюдце для цветочных горшков	-2.0
MOD_201251	-21251	1251	Деревянный уличный горшок	-2.0
MOD_201252	-21252	1252	Горшки и кашпо для цветов с ёмкостью для удержания воды	-2.0
MOD_201253	-21253	1253	Бочка для вина	-2.0
MOD_201254	-21254	1254	Подставка для цветочных горшков	-2.0
MOD_201255	-21255	1255	Подставка для горшка на колесах	-2.0
MOD_201256	-21256	1256	Поддержка для живой изгороди	-2.0
MOD_201257	-21257	1257	Репеллентная свеча	-2.0
MOD_201258	-21258	1258	Держатель для чайной свечи	-2.0
MOD_201259	-21259	1259	Заправка для факела	-2.0
MOD_201260	-21260	1260	Искусственные цветы и растения	-2.0
MOD_201261	-21261	1261	Искусственное растение и дерево в горшке	-2.0
MOD_201262	-21262	1262	Отдел Декора(разноцветный апесок в стеклянные вазы)	-2.0
MOD_201263	-21263	1263	Китайский фонарик и гирлянда	-2.0
